"Algorithm","Vertices Count","Edges Percent","Calls Limit","Time"
Edge,4,0.2,1,27
Matching,4,0.2,1,544
Edge,4,0.2,2,0
Matching,4,0.2,2,437
Edge,4,0.2,3,0
Matching,4,0.2,3,294
Edge,4,0.2,4,0
Matching,4,0.2,4,515
Edge,4,0.4,1,37
Matching,4,0.4,1,1884
Edge,4,0.4,2,0
Matching,4,0.4,2,2446
Edge,4,0.4,3,0
Matching,4,0.4,3,2158
Edge,4,0.4,4,0
Matching,4,0.4,4,1974
Edge,4,0.6,1,0
Matching,4,0.6,1,2037
Edge,4,0.6,2,0
Matching,4,0.6,2,2920
Edge,4,0.6,3,0
Matching,4,0.6,3,2209
Edge,4,0.6,4,0
Matching,4,0.6,4,2733
Edge,5,0.2,1,0
Matching,5,0.2,1,1448
Edge,5,0.2,2,0
Matching,5,0.2,2,1608
Edge,5,0.2,3,0
Matching,5,0.2,3,2761
Edge,5,0.2,4,0
Matching,5,0.2,4,3290
Edge,5,0.4,1,0
Matching,5,0.4,1,6931
Edge,5,0.4,2,0
Matching,5,0.4,2,6686
Edge,5,0.4,3,0
Matching,5,0.4,3,8149
Edge,5,0.4,4,0
Matching,5,0.4,4,10592
Edge,5,0.6,1,14
Matching,5,0.6,1,9000
Edge,5,0.6,2,0
Matching,5,0.6,2,12998
Edge,5,0.6,3,0
Matching,5,0.6,3,9700
Edge,5,0.6,4,0
Matching,5,0.6,4,11237
Edge,6,0.2,1,0
Matching,6,0.2,1,8303
Edge,6,0.2,2,0
Matching,6,0.2,2,7897
Edge,6,0.2,3,0
Matching,6,0.2,3,10461
Edge,6,0.2,4,0
Matching,6,0.2,4,14337
Edge,6,0.4,1,0
Matching,6,0.4,1,15819
Edge,6,0.4,2,1
Matching,6,0.4,2,16544
Edge,6,0.4,3,0
Matching,6,0.4,3,22508
Edge,6,0.4,4,0
Matching,6,0.4,4,24514
Edge,6,0.6,1,1
Matching,6,0.6,1,21999
Edge,6,0.6,2,78
Matching,6,0.6,2,19569
Edge,6,0.6,3,184
Matching,6,0.6,3,32491
Edge,6,0.6,4,115
Matching,6,0.6,4,37398
Edge,7,0.2,1,0
Matching,7,0.2,1,14759
Edge,7,0.2,2,0
Matching,7,0.2,2,12814
Edge,7,0.2,3,0
Matching,7,0.2,3,17327
Edge,7,0.2,4,0
Matching,7,0.2,4,18332
Edge,7,0.4,1,0
Matching,7,0.4,1,36594
Edge,7,0.4,2,11
Matching,7,0.4,2,39025
Edge,7,0.4,3,2
Matching,7,0.4,3,48489
Edge,7,0.4,4,2
Matching,7,0.4,4,58824
Edge,7,0.6,1,4
Matching,7,0.6,1,58378
Edge,7,0.6,2,3
Matching,7,0.6,2,49064
Edge,7,0.6,3,42
Matching,7,0.6,3,52877
Edge,7,0.6,4,10
Matching,7,0.6,4,59765
